,,,物品品质,,,,,,,,,,,
编号,名字（注释）,类型,白色概率,绿色概率,蓝色概率,金色概率,暗金概率,天蓝概率,翡翠绿概率,白金概率,最低掉落等级,最高掉落等级,普通道具衰减,贵重道具衰减
ID,Name,Type,White,Green,Blue,Golden,GoldenPlus,BluePlus,GreenPlus,WhitePlus,Levl,Levh,Attenuation_Normal,Attenuation_Good
1,野外怪物,1,0.10,0.80,1,0.6,0.4,0.1,0.03,,35,99,1,1
2,野外boss,2,1,0.80,1,0.6,0.4,0.1,0.03,,1,99,1,1
3,野外大boss,3,1,0.80,1,0.6,0.4,0.1,0.03,,1,99,1,1
4,副本怪物,4,0.10,0.80,1,0.6,0.4,0.1,0.03,,1,99,,1
5,副本怪物,4,0.10,0.80,1,0.6,0.4,0.1,0.03,,1,99,,1
6,副本boss,5,2,0.80,1,0.6,0.4,0.1,0.03,,1,24,,1
7,副本boss,5,2,0.80,1,0.6,0.4,0.1,0.03,,25,34,,1
8,副本boss,5,2,0.80,1,0.6,0.4,0.1,0.03,,35,55,,1
9,副本boss,5,2,0.80,1,0.6,0.4,0.1,0.03,,56,99,,1
10,副本大boss,6,2,0.80,1,0.6,0.4,0.1,0.03,,1,24,,1
11,副本大boss,6,2,0.80,1,0.6,0.4,0.1,0.03,,25,39,,1
12,副本大boss,6,2,0.80,1,0.6,0.4,0.1,0.03,,40,59,,1
13,副本大boss,6,2,0.80,1,0.6,0.4,0.1,0.03,,60,99,,1
14,银英BOSS,7,4,0.80,1,0.6,0.4,0.1,0.03,,25,51,,1
15,世界BOSS,8,8,0.80,1,0.6,0.4,0.1,0.03,,40,49,,1
16,世界BOSS,8,8,0.80,1,0.6,0.4,0.1,0.03,,50,59,,1
17,世界BOSS,8,8,0.80,1,0.6,0.4,0.1,0.03,,60,99,,1
